s	label	match	strunz	notes	elements	crystal	url	ima
gcmin:abellaite	Abellaite	<https://www.mindat.org/1:1:47008:3>	05.BE.X	Ibáñez-Insa J, Elvira J J, Llovet X, Pérez-Cano J, Oriols N, Busquets-Masó M, Hernández S (2017) Abellaite, NaPb_2_(CO_3_)_2_(OH), a new supergene mineral from the Eureka mine, Lleida province, Catalonia, Spain. European Journal of Mineralogy 29, 915-922	Na | Pb | C | O | H	hexagonal	https://www.mindat.org/min-47008.html	IMA2014-111
gcmin:abelsonite	Abelsonite	<https://www.mindat.org/1:1:1:5>	10.CA.20	Milton C, Dwornik E J, Estep-Barnes P A, Finkelman R B, Pabst A, Palmer S (1978) Abelsonite, nickel porphyrin, a new mineral from the Green River Formation, Utah, American Mineralogist 63, 930-937	Ni | C | H | N	triclinic	http://www.mindat.org/min-1.html	IMA1975-013
gcmin:abenakiite-ce	Abenakiite-(Ce)	<https://www.mindat.org/1:1:2:4>	09.CK.10	McDonald A M, Chao G Y, Grice J D (1994) Abenakiite-(Ce), a new silicophosphate carbonate mineral from Mont Saint-Hilaire, Quebec: Description and structure determination, The Canadian Mineralogist 32, 843-854	Na | Ce | Si | O | P | C | S	hexagonal	http://www.mindat.org/min-2.html	IMA1991-054
gcmin:abernathyite	Abernathyite	<https://www.mindat.org/1:1:3:3>	08.EB.15	Thompson M E, Ingram B, Gross E B (1956) Abernathyite, a new uranium mineral of the metatorbernite group, American Mineralogist 41, 82-90 Chemical formula revised from K(UO<sub>2</sub>)AsO<sub>4</sub>·4H<sub>2</sub>O: Ross M, Evans H T (1964) Studies of the torbernite minerals (I): The crystal structure of abernathyite and the structurally related compounds NH<sub>4</sub>(UO<sub>2</sub>AsO<sub>4</sub>)·3H<sub>2</sub>O and K(H<sub>3</sub>O)(UO<sub>2</sub>AsO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O, American Mineralogist 49, 1578-1602	K | U | O | As | H	tetragonal	http://www.mindat.org/min-3.html	
gcmin:abhurite	Abhurite	<https://www.mindat.org/1:1:4:2>	03.DA.30	Matzko J J, Evans H T, Mrose M E, Aruscavage P (1985) Abhurite, a new tin hydroxychloride mineral, and a comparative study with a synthetic basic tin chloride, The Canadian Mineralogist 23, 233-240 Chemical formula revised from Sn<sub>3</sub>O(OH)<sub>2</sub>Cl<sub>2</sub>: Edwards R, Gillard R D, Williams P A (1992) The stabilities of secondary tin minerals: abhurite and its relationships to Sn(II) and Sn(IV) oxides and oxyhydroxides, Mineralogical Magazine 56, 221-226	Sn | O | H | Cl	hexagonal	http://www.mindat.org/min-4.html	IMA1983-061
gcmin:abramovite	Abramovite	<https://www.mindat.org/1:1:29261:6>	02.HF.25a	Yudovakaya M A, Trybkin N V, Koporulina E V, Belakovsky D I, Mokhov A V, Kuznetsova M V, Golovanova T I (2007) Abramovite, Pb<sub>2</sub>SnInBiS<sub>7</sub> - the new mineral from fumaroles of Kudryavy Volcano (Kurily Islands), Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 136(5), 45-51	Pb | Sn | In | Bi | S	triclinic	http://www.mindat.org/min-29261.html	IMA2006-016
gcmin:abswurmbachite	Abswurmbachite	<https://www.mindat.org/1:1:9:7>	09.AG.05	Reinecke T, Tillmanns E, Bernhardt H J (1991) Abswurmbachite, Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>[O<sub>8</sub>/SiO<sub>4</sub>], a new mineral of the braunite group: natural occurrence, synthesis, and crystal structure, Neues Jahrbuch fur Mineralogie, Abhandlungen 163, 117-143	Cu | Mn | O | Si	tetragonal	http://www.mindat.org/min-9.html	IMA1990-007
gcmin:abuite	Abuite	<https://www.mindat.org/1:1:46490:3>	08.B	Enju S, Uehara S (2017) Abuite, CaAl_2_(PO_4_)_2_F_2_, a new mineral from the Hinomaru-Nago mine, Yamaguchi Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 112, 109-115	Ca | Al | P | O | F	orthorhombic	https://www.mindat.org/min-46490.html	IMA2014-084
gcmin:acanthite	Acanthite	<https://www.mindat.org/1:1:10:5>	02.BA.35	Kenngott A (1855) Ueber den akanthit, eine neue species in dem geschlechte der silber-glanze, Annalen der Physik und Chemie 95, 462-464	Ag | S	monoclinic	http://www.mindat.org/min-10.html	
<https://w3id.org/geochem/1.0/mingroup/46605>	Acanthite Group	<https://www.mindat.org/1:1:46605:3>					https://mindat.org/min-46605.html	
gcmin:acetamide	Acetamide	<https://www.mindat.org/1:1:13:6>	10.AA.20	Srebrodol'skii B I (1975) Acetamide CH<sub>3</sub>CONH<sub>2</sub> - a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 104(3), 326-328	C | H | O | N	hexagonal	http://www.mindat.org/min-13.html	IMA1974-039
gcmin:achalaite	Achalaite	<https://www.mindat.org/1:1:46039:6>	04.D	Galliski M Á, Márquez-Zavalía M F, Cerný P, Lira R, Colombo F, Roberts A C, Bernhardt H J (2016) Achalaite, Fe^2+^TiNb_2_O_8_, a new member of the wodginite group from the La Calandria granitic pegmatite, Córdoba, Argentina. The Canadian Mineralogist 54, 1043-1052	Fe | Ti | Nb | O	monoclinic	https://www.mindat.org/min-46039.html	IMA2013-103
gcmin:achyrophanite	Achyrophanite	<https://www.mindat.org/1:1:52919:4>	08.BF.30	Pekov, I.V., Zubkova, N.V., Koshlyakova, N.N., Belakovskiy, D.I., Vigasina, M.F., Agakhanov, A.A., Britvin, S.N., Turchkova, A.G., Sidorov, E.G. and Pushcharovsky, D.Y. (2018) Achyrophanite, IMA2018-011. CNMNC Newsletter No 43, June 2018, page 783; Mineralogical Magazine, 82, 779–785	K | Na | Fe | Ti | Al | Mg | O | As	orthorhombic	https://www.mindat.org/min-52919.html	IMA2018-011
gcmin:achavalite	Achávalite	<https://www.mindat.org/1:1:14:3>	02.CC.05	Olsacher J (1939) Achavalita, seleniuro de hierro. Nueva especie mineral, Boletin de la Facultad de Ciencias Exactas, Fisicas y Naturales, Universidad Nacional de Cordoba 2, 73-78 Spelling of name changed from achavalite to achávalite: Hålenius U, Hatert F, Pasero M, Mills S J (2015) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 28. New minerals and nomenclature modifications approved in 2015. Mineralogical Magazine 79, 1859-1864	Fe | Se	hexagonal	http://www.mindat.org/min-14.html	
gcmin:acmonidesite	Acmonidesite	<https://www.mindat.org/1:1:45955:8>	07.BC	Demartin F, Castellano C, Campostrini I (2019) Acmonidesite, a new ammonium sulfate chloride from La Fossa crater, Vulcano, Aeolian Islands, Italy. Mineralogical Magazine 83, 137-142	N | H | K | Pb | Na | Fe | S | O | Cl	orthorhombic	https://www.mindat.org/min-45955.html	IMA2013-068
