[s]	label	def	note	b	blabel	source
secm:airfall_dust_collector	Airfall dust collection	Sample of fine-grained solid material that is passively collected by airfall from the atmosphere.		secm:sm100	Sampling method	Geoscience Australia
secm:airlift	Airlift water sampling	Compressed air is used to extract groundwater		secm:sm014	Water sampling	Geoscience Australia
secm:airlift	Airlift water sampling	Compressed air is used to extract groundwater		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:artesian_flow	Artesian flow sampling	Groundwater sample obtained from flowing artesian bore		secm:sm014	Water sampling	Geoscience Australia
secm:artesian_flow	Artesian flow sampling	Groundwater sample obtained from flowing artesian bore		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:auger	Auger	Specimens collected by hand or mechanical auger which enable samples to be taken at intervals down profile. For example regolith, soil or sediment.		secm:drilling	Drilling	Geoscience Australia
secm:bailer	Borehole bailer sampling	Bailer is a hollow tube used to retrieve groundwater samples from monitoring wells. A bailer is tied to a piece of rope or wire and lowered into the water column to collect a sample.		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:bailer	Borehole bailer sampling	Bailer is a hollow tube used to retrieve groundwater samples from monitoring wells. A bailer is tied to a piece of rope or wire and lowered into the water column to collect a sample.		secm:sm014	Water sampling	Geoscience Australia
secm:benthic_trawl	Benthic trawl	Seabed sampling taken over a small area seaward of the continental shelf. Sample of the upper few cm of rocky sea floor particularly for biota.		secm:trawlsampling	Trawl sampling	Geoscience Australia
secm:borehole_dst_test	Borehole drill stem test	A sample is collected during drilling by a test using a hydrostatic head to measure the formation pressures and to bring the formation fluids to the surface. The test can provide information for determination of potential petroleum producing formations and their exact depth.		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:borehole_fluid_sampling	Borehole fluid sampling	Sampling of fluids (oil, gas, or water) from a borehole by an unspecified method.		secm:sm043	Fluid sampling	Geoscience Australia
secm:borehole_prod_test	Borehole production test	A borehole sampling test similar to DST test, but on a larger scale and under the production conditions after the well completion is conducted.		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:borehole_wft_test	Borehole wireline formation test	A sample is taken from a borehole with a wireline formation tester by inserting a probe into a well wall to withdraw a small amount of formation fluid and to measure the formation pore pressure. This measurement can provide formation pressures along the well hole, thereby giving a measure of pressure with depth or along a horizontal borehole.		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:boreholewaterpump	Borehole water pumping	A pump designed to lift water or other fluid to the surface from a borehole.  Various designs exist, including electric submersible, helical coil, jet.  Include pump jacks and windmills that are specific to pumping fluid from boreholes, as well as pumps design to be placed inside the borehole		secm:sm014	Water sampling	Geoscience Australia
secm:boreholewaterpump	Borehole water pumping	A pump designed to lift water or other fluid to the surface from a borehole.  Various designs exist, including electric submersible, helical coil, jet.  Include pump jacks and windmills that are specific to pumping fluid from boreholes, as well as pumps design to be placed inside the borehole		secm:waterbodywatersampling	Water body water sampling	Geoscience Australia
secm:boreholewaterpump	Borehole water pumping	A pump designed to lift water or other fluid to the surface from a borehole.  Various designs exist, including electric submersible, helical coil, jet.  Include pump jacks and windmills that are specific to pumping fluid from boreholes, as well as pumps design to be placed inside the borehole		secm:borehole_fluid_sampling	Borehole fluid sampling	Geoscience Australia
secm:bottle_incubation	bottle incubation	A method to derive the oxygen consumption rate/respiration rates of organic matter conducted in a bottle or vial  under controlled light and temperature conditions.		secm:sm200	Sediment water incubation sampling	Geoscience Australia
secm:bottle_incubation_dark	bottle incubation dark	A method to derive the oxygen consumption rate/respiration rates of organic matter conducted in a bottle or vial  under controlled light and temperature conditions.		secm:bottle_incubation	bottle incubation	Geoscience Australia
secm:bottle_incubation_light	bottle incubation light	A method to derive the oxygen consumption rate/respiration rates of organic matter conducted in a bottle or vial  under controlled light and temperature conditions.		secm:bottle_incubation	bottle incubation	Geoscience Australia
secm:bottlesampling	Container sampling	Water is collected in a container that is opened to collect water at some specific depth in a water body. Includes Niskin bottles, bottles on Rosette samplers https://en.wikipedia.org/wiki/Rosette_sampler.  Also bottled samples collected by simple bailer or scoop from water surface. If water is filtered or preserved use the water sampling -filtere or -preserved categories.	include Hydrothermal Fluid and Particle Sampler (HFPS) collect fluids and particles,  Using a 25-port valve and two pumps, fluids are pumped through a titanium intake nozzle, through a Teflon hose and custom titanium and Teflon manifold with 24 ports. The sampler has a capacity of 18 water samples (700ml each) and 6 in-situ filters.        include _Titanium major water sampler_, another tool to sample high temperature water in submarine environment. Similar to a syringe, a trigger on the outside of the bottle can be pressed by the ROV pilot to release a spring that will draw fluid into the chamber. Approximately 750ml of fluid can be collected using the Major bottles. https://oceanexplorer.noaa.gov/explorations/05lostcity/logs/july28/july28.html	secm:waterbodywatersampling	Water body water sampling	this vocabulary
secm:bottlesampling	Container sampling	Water is collected in a container that is opened to collect water at some specific depth in a water body. Includes Niskin bottles, bottles on Rosette samplers https://en.wikipedia.org/wiki/Rosette_sampler.  Also bottled samples collected by simple bailer or scoop from water surface. If water is filtered or preserved use the water sampling -filtere or -preserved categories.	include Hydrothermal Fluid and Particle Sampler (HFPS) collect fluids and particles,  Using a 25-port valve and two pumps, fluids are pumped through a titanium intake nozzle, through a Teflon hose and custom titanium and Teflon manifold with 24 ports. The sampler has a capacity of 18 water samples (700ml each) and 6 in-situ filters.        include _Titanium major water sampler_, another tool to sample high temperature water in submarine environment. Similar to a syringe, a trigger on the outside of the bottle can be pressed by the ROV pilot to release a spring that will draw fluid into the chamber. Approximately 750ml of fluid can be collected using the Major bottles. https://oceanexplorer.noaa.gov/explorations/05lostcity/logs/july28/july28.html	secm:sm014	Water sampling	this vocabulary
secm:cable_tool_drilling	cable tool drilling	A percussion drilling method that uses a heavy drilling tool that is raised and lowered with enough force to pulverise the rock, with the debris removed by a bailer.		secm:percussion_drilling	Percussion drilling	National Groundwater Information System (NGIS)
secm:chamber_incubation	Chamber incubation	A method that isolates sediment and overlying water in a benthic chamber. Water samples are collected from the benthic chamber during the incubation.		secm:sm200	Sediment water incubation sampling	Geoscience Australia
secm:chamber_incubation_dark	chamber incubation dark	A in situ method that isolates sediment and overlying water in a dark benthic chamber. Incubation water samples are collected from the benthic chamber during the incubation. The dark chamber restricts light penetration and therefore stops the process of photosynthesis. This enables benthic respiration to be measured.		secm:chamber_incubation	Chamber incubation	Geoscience Australia
secm:chamber_incubation_light	chamber incubation light	A in situ method that isolates sediment and overlying water in a light benthic chamber. Incubation water samples are collected from the benthic chamber during the incubation. The  transparent walls of the chamber allow light penetration and enables benthic respiration and photosynthesis to be measured.		secm:chamber_incubation	Chamber incubation	Geoscience Australia
secm:chemicalseparation	Chemical separation	sample collection by chemical processing of a sampled material		secm:sm045	Processed separation	this vocabulary
secm:core_air	Air cooled core drilling	Rock or sediment core derived from a dry, air-cooled diamond drilling method.		secm:core_drilling_unspecified	Core drilling	Geoscience Australia
secm:core_catcher	Core catcher	A method by which a specimen of sediment is collected from the end of the core in the core catcher. The core catcher has curved finger-like projections that extend down to the lowest part of the core liner. The core catcher helps keep the sediment in the core liner when the core is being removed from the surface.		secm:core_drilling_unspecified	Core drilling	Geoscience Australia
secm:core_conventional	core conventional	Core drilling using diamond or tungsten carbide bit using a core barrel with fibreglass inner sleeves. Used in the oil industry.		secm:core_diamond	Diamond bit drill coring	Geoscience Australia
secm:core_cutter	Core cutter	A method by which a specimen of sediment is collected from the lowest part of a coring assembly at the core cutter. The core cutter has sharp edges which cut and shape the sediment entering the core liner as the corer goes into the sediment.		secm:core_drilling_unspecified	Core drilling	Geoscience Australia
secm:core_diamond	Diamond bit drill coring	Rock or sediment core drilling using a liquid-cooled, diamond or tungsten carbide bit.		secm:core_drilling_unspecified	Core drilling	Geoscience Australia
secm:core_drilling_unspecified	Core drilling	Sampling of a core of earth material by an unspecified drilling method		secm:sm041	Coring	Geoscience Australia
secm:core_drilling_unspecified	Core drilling	Sampling of a core of earth material by an unspecified drilling method		secm:sm041	Coring	SESAR collection method
secm:core_drilling_unspecified	Core drilling	Sampling of a core of earth material by an unspecified drilling method		secm:drilling	Drilling	Geoscience Australia
secm:core_drilling_unspecified	Core drilling	Sampling of a core of earth material by an unspecified drilling method		secm:drilling	Drilling	SESAR collection method
secm:core_geoprobe	Geoprobe coring	High quality core extracted by hydraulic power. Used in rough terrain, soft sand, mud, shallow water, or tight, congested areas. Long high quality cores.	[Ed. note] Geoprobe is a company that makes a variety of drilling and coring equipment; just saying 'Geoprobe' isn't obviously communicating what drilling technology is intended.	secm:sm005	Soft material coring	https://geoprobe.com/tooling/rock-coring-wet-rotary-systems
secm:core_geoprobe	Geoprobe coring	High quality core extracted by hydraulic power. Used in rough terrain, soft sand, mud, shallow water, or tight, congested areas. Long high quality cores.	[Ed. note] Geoprobe is a company that makes a variety of drilling and coring equipment; just saying 'Geoprobe' isn't obviously communicating what drilling technology is intended.	secm:sm005	Soft material coring	Geoscience Australia
secm:core_incubation_dark	core incubation dark	A method whereby a sediment core is collected along with overlying water. The sediment and water are incubated under no light and controlled temperature conditions.		secm:sm200	Sediment water incubation sampling	Geoscience Australia
secm:core_incubation_light	core incubation light	A method whereby a sediment core is collected along with overlying water. The sediment and water are incubated under controlled light and temperature conditions.		secm:sm200	Sediment water incubation sampling	Geoscience Australia
secm:core_mackereth	core Mackereth	The Mackereth is a complex coring system utilizing compressed gas to penetrate and recover single-drive moderate (up to 12 m) cores from lakes of diverse depths.  Mackereth cores can be deployed on virutally any small craft and and can be used in water depths up to 80 m.		secm:sm005	Soft material coring	Geoscience Australia
secm:core_press	core press	Pore water is extracted from core material under pressure.		secm:sm014	Water sampling	Geoscience Australia
secm:core_push	Push coring	A pipe that is pushed into the sediment to gain a core that is no longer than 2m long. Core pipe has a valve on top that is used to create a vacuum at the top of the core when pulling the core out of the sediment. Can be operated by a human working on land, shallow water, or from a boat in shallow water with a pipe extension to reach the bottom. Can be operated mechanically from a submersible (HOV or ROV).	a smaller hand-held device made up of a length of clear plastic tubing attached to a corer head and extension poles. In the marine environment, the push corer is lowered overboard and manually pushed into the sediment before a valve at the top of the core, is closed creating a vacuum. The core and barrel is then lifted out of the surrounding sediment and back to the surface. The operation is the same on land or in shallow waters where a boat is not required. https://www.ga.gov.au/scientific-topics/marine/survey-techniques/sedimentary-coring-drilling	secm:sm005	Soft material coring	Geoscience Australia
secm:core_rov	Coring from submersible	A core produced by a drill mounted on a submersible vehicle, ROV, HOV.		secm:core_drilling_unspecified	Core drilling	Geoscience Australia
secm:core_sonic	Sonic coring	Similar to the vibro-core technique, the drill stem and barrel are vibrated vertically at frequencies between 50Hz and 180Hz such that the sampler barrel advances by slicing through the regolith.		secm:sm031	Vibrator Coring	https://www.frtr.gov/site/3_1_6.html
secm:core_sonic	Sonic coring	Similar to the vibro-core technique, the drill stem and barrel are vibrated vertically at frequencies between 50Hz and 180Hz such that the sampler barrel advances by slicing through the regolith.		secm:sm031	Vibrator Coring	Geoscience Australia
secm:core_spike	core spike	A core of surficial material taken by driving a spike into the ground.		secm:sm005	Soft material coring	Geoscience Australia
secm:densityseparation	Density separation	isolation of a component of an agregate based on particle density, e.g. heavy liquid		secm:sm045	Processed separation	this vocabulary
secm:diamantina_dredge	dredge diamantina	Used as a spot dredge to quickly ascertain sea bed geology. Samples give the seabed character unless it is deep when any mud is washed out during retrieval. In shallow water this dredge will return rock, mud, benthic samples and any thing else that is on the bottom.		secm:sm033	Dredge sampling	Geoscience Australia
secm:drilling	Drilling	Sampling by a hole drilled into the Earth by any method		secm:sm100	Sampling method	Geoscience Australia
secm:epibenthic_sled	Benthic sled sampling	A method designed to collect benthic and benthopelagic faunas from the deep sea. The sled is made from a steel frame consisting of two skids and stabilizing planes to keep it from sinking too deep into the mud.	Sampling benthic flora and fauna using a device towed along the seafloor. The devices has have a secondary net to study plankton and can be fitted with video or stills cameras to monitor sampling in real time. https://www.ga.gov.au/scientific-topics/marine/survey-techniques/sedimentary-coring-drilling	secm:waterbodysampling	Water body survey sampling	Geoscience Australia
secm:field_mapping_observation	Field mapping survey	A mapping survey undertaken in a land environment. May include observations and/or sampling.		secm:sm100	Sampling method	Geoscience Australia
secm:filtered_dust_collector	Filtered dust collector	Sample of fine-grained solid material that is actively collected from the atmosphere by pumping and filtration.		secm:filtration	Filtration residue sampling	Geoscience Australia
secm:filtration	Filtration residue sampling	Separation of undissolved sediment and biological particles collected from a water column by filtration. For total dissolved solids measurements the sample is filtered through a glass fibre filter under controlled conditions.  The type of filter is dependent on the method used and the purpose of the determination.		secm:sm100	Sampling method	Geoscience Australia
secm:freefallcoring	Free fall coring	collection of core with a tube that has an assembly with weights and fins, allowed to drop through the water column and penetrate water bottom sediment.	see https://www.kc-denmark.dk/products/sediment-samplers/free-fall-corer.aspx.  This device used in sandy sediment, core tube lengths to 2 m long	secm:sm005	Soft material coring	reported in SESAR data.
secm:grab_eckman	grab Eckman	The Eckman Bottom Grab sampler is designed for sampling in soft bottomed lakes and rivers composed of muck, mud or fine peat		secm:sm036	Sediment grab	Geoscience Australia
